Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Type,Transmission Type,Gear num
2.0,4,1,9.9,6.7,SMALL,1,5.0
2.4,4,1,11.2,7.7,SMALL,2,6.0
1.5,4,1,6.0,5.8,SMALL,3,7.0
3.5,6,1,12.7,9.1,VAN,1,6.0
3.5,6,1,12.1,8.7,VAN,1,6.0
3.5,6,1,11.9,7.7,MIDDLE,1,6.0
3.5,6,1,11.8,8.1,MIDDLE,1,6.0
3.7,6,1,12.8,9.0,MIDDLE,1,6.0
3.7,6,1,13.4,9.5,MIDDLE,2,6.0
2.4,4,1,10.6,7.5,SMALL,1,5.0
2.4,4,1,11.2,8.1,SMALL,2,6.0
3.5,6,1,12.1,8.3,SMALL,1,5.0
1.8,4,1,9.7,6.9,SMALL,4,6.0
5.9,12,1,18.0,12.6,SMALL,5,6.0
5.9,12,1,18.0,12.6,SMALL,5,6.0
4.7,8,1,17.4,11.3,SMALL,4,7.0
4.7,8,1,18.1,12.2,SMALL,2,6.0
2.0,4,1,9.9,7.4,SMALL,3,8.0
2.0,4,1,11.5,8.1,SMALL,1,8.0
2.0,4,1,10.8,7.5,SMALL,2,6.0
2.0,4,1,11.5,8.1,SMALL,1,8.0
2.0,4,1,10.8,7.5,SMALL,2,6.0
2.0,4,1,12.0,8.1,MIDDLE,1,8.0
3.0,6,1,12.8,8.6,MIDDLE,1,8.0
3.0,6,2,9.8,6.2,MIDDLE,1,8.0
3.0,6,1,13.3,8.5,MIDDLE,1,8.0
3.0,6,1,13.1,8.8,MIDDLE,1,8.0
4.0,8,1,13.7,8.3,MIDDLE,1,8.0
3.0,6,2,9.8,6.5,MIDDLE,1,8.0
3.0,6,1,13.1,8.8,MIDDLE,1,8.0
4.0,8,1,14.7,9.7,MIDDLE,1,8.0
6.3,12,1,18.7,11.5,MIDDLE,1,8.0
3.0,6,2,9.8,6.5,MIDDLE,1,8.0
2.0,4,1,11.8,8.8,MIDDLE,1,8.0
2.0,4,1,12.0,8.5,VAN,1,8.0
3.0,6,1,12.9,9.2,VAN,1,8.0
3.0,6,2,10.2,7.8,VAN,1,8.0
2.0,4,1,9.9,8.3,VAN,1,8.0
3.0,6,1,15.1,10.9,VAN,1,8.0
3.0,6,2,12.4,8.7,VAN,1,8.0
4.2,8,1,17.6,11.0,SMALL,5,7.0
4.2,8,1,21.2,13.4,SMALL,2,6.0
5.2,10,1,18.2,10.6,SMALL,5,7.0
5.2,10,1,21.1,13.8,SMALL,2,6.0
4.2,8,1,15.3,10.9,SMALL,5,7.0
4.2,8,1,15.2,11.3,SMALL,5,7.0
4.0,8,1,15.5,8.8,MIDDLE,1,8.0
3.0,6,1,13.2,9.2,SMALL,5,7.0
3.0,6,1,14.6,9.8,SMALL,2,6.0
3.0,6,1,13.2,9.2,SMALL,5,7.0
3.0,6,1,14.6,9.8,SMALL,2,6.0
3.0,6,1,13.3,9.5,SMALL,5,7.0
4.0,8,1,14.2,9.7,MIDDLE,5,7.0
4.0,8,1,15.8,9.2,MIDDLE,1,8.0
3.0,6,1,14.9,10.1,VAN,1,8.0
2.0,4,1,10.4,7.6,SMALL,5,6.0
2.0,4,1,10.4,7.6,SMALL,5,6.0
2.0,4,1,11.5,8.8,SMALL,5,6.0
2.0,4,1,11.5,8.8,SMALL,5,6.0
4.0,8,1,16.3,9.8,SMALL,1,8.0
6.0,12,1,18.8,11.5,SMALL,1,8.0
4.0,8,1,17.4,10.2,SMALL,1,8.0
6.0,12,1,20.0,12.2,SMALL,1,8.0
6.0,12,1,20.3,11.9,MIDDLE,1,8.0
6.8,8,1,22.3,14.9,MIDDLE,1,8.0
2.0,4,1,10.0,6.5,SMALL,5,8.0
2.0,4,1,10.4,6.7,SMALL,2,6.0
2.0,4,1,10.2,7.0,SMALL,5,8.0
2.0,4,2,7.6,5.5,SMALL,5,8.0
2.0,4,2,7.6,5.5,MIDDLE,5,8.0
2.0,4,1,10.6,7.2,SMALL,5,8.0
2.0,4,1,10.6,7.2,MIDDLE,5,8.0
2.0,4,1,10.6,7.2,MIDDLE,5,8.0
3.0,6,1,11.4,7.3,SMALL,5,8.0
3.0,6,1,11.8,7.9,SMALL,2,6.0
3.0,6,1,11.7,7.8,SMALL,5,8.0
3.0,6,1,11.9,8.3,SMALL,2,6.0
3.0,6,1,11.9,8.0,MIDDLE,5,8.0
2.0,4,1,10.2,7.0,MIDDLE,5,8.0
2.0,4,1,10.6,7.2,MIDDLE,5,8.0
3.0,6,2,9.2,6.4,MIDDLE,5,8.0
3.0,6,1,11.9,8.0,MIDDLE,5,8.0
3.0,6,1,12.5,8.6,MIDDLE,5,8.0
4.4,8,1,14.4,9.6,MIDDLE,5,8.0
4.4,8,1,15.0,9.8,MIDDLE,5,8.0
3.0,6,1,11.9,8.0,SMALL,5,8.0
4.4,8,1,15.0,9.8,SMALL,5,8.0
4.4,8,1,14.4,9.6,SMALL,5,8.0
4.4,8,1,15.0,9.8,SMALL,5,8.0
6.0,12,1,18.7,11.5,MIDDLE,5,8.0
3.0,6,1,9.2,7.1,SMALL,5,8.0
3.0,6,1,10.5,7.9,MIDDLE,5,8.0
3.0,6,1,10.5,7.6,MIDDLE,5,8.0
4.4,8,1,17.3,11.5,MIDDLE,4,7.0
4.4,8,1,16.2,10.9,MIDDLE,2,6.0
4.4,8,1,17.3,11.5,SMALL,4,7.0
4.4,8,1,16.2,10.9,SMALL,2,6.0
4.4,8,1,17.3,11.5,SMALL,4,7.0
4.4,8,1,16.2,10.9,SMALL,2,6.0
2.0,4,1,10.6,7.2,VAN,5,8.0
3.0,6,1,13.2,8.9,VAN,5,6.0
2.0,4,1,11.2,8.5,VAN,5,8.0
3.0,6,1,12.6,9.1,VAN,5,8.0
3.0,6,1,12.9,8.8,VAN,5,8.0
4.4,8,1,16.3,10.9,VAN,5,8.0
4.4,8,1,18.1,13.7,VAN,5,6.0
3.0,6,1,13.6,9.8,VAN,5,8.0
4.4,8,1,16.4,11.3,VAN,5,8.0
2.0,4,1,10.8,7.1,SMALL,5,8.0
2.0,4,1,10.4,6.7,SMALL,2,6.0
3.0,6,1,13.7,10.1,SMALL,4,7.0
3.0,6,1,12.7,9.0,SMALL,2,6.0
3.6,6,3,14.3,9.9,VAN,5,6.0
3.6,6,3,14.6,10.2,VAN,5,6.0
1.4,4,3,9.5,7.2,VAN,1,6.0
1.4,4,3,10.2,8.0,VAN,1,6.0
3.6,6,3,13.7,8.7,MIDDLE,1,6.0
3.6,6,4,18.4,12.2,MIDDLE,1,6.0
3.6,6,3,13.7,8.9,MIDDLE,1,6.0
3.6,6,4,19.4,13.0,MIDDLE,1,6.0
2.4,4,3,9.6,6.5,MIDDLE,1,6.0
2.0,4,1,11.5,7.9,MIDDLE,1,6.0
2.0,4,1,11.6,7.5,MIDDLE,2,6.0
2.0,4,1,12.3,8.7,MIDDLE,1,6.0
2.0,4,1,11.5,7.9,SMALL,1,6.0
2.0,4,1,11.6,7.5,SMALL,2,6.0
2.4,4,3,11.3,7.4,SMALL,1,6.0
2.0,4,1,11.3,7.5,SMALL,1,6.0
2.0,4,1,12.1,7.9,SMALL,2,6.0
2.5,4,3,10.5,7.2,SMALL,1,6.0
